address,opcode_bin,mnemonic,step,Z,C,signals,rom1_hex,rom2_hex,rom3_hex
0,0000,NOP,0,0,0,IROM_OUT+IR_IN+PC_INC,49,00,00
1,0000,NOP,0,0,1,IROM_OUT+IR_IN+PC_INC,49,00,00
2,0000,NOP,0,1,0,IROM_OUT+IR_IN+PC_INC,49,00,00
3,0000,NOP,0,1,1,IROM_OUT+IR_IN+PC_INC,49,00,00
4,0000,NOP,1,0,0,(none),00,00,00
5,0000,NOP,1,0,1,(none),00,00,00
6,0000,NOP,1,1,0,(none),00,00,00
7,0000,NOP,1,1,1,(none),00,00,00
8,0000,NOP,2,0,0,(none),00,00,00
9,0000,NOP,2,0,1,(none),00,00,00
10,0000,NOP,2,1,0,(none),00,00,00
11,0000,NOP,2,1,1,(none),00,00,00
12,0000,NOP,3,0,0,(none),00,00,00
13,0000,NOP,3,0,1,(none),00,00,00
14,0000,NOP,3,1,0,(none),00,00,00
15,0000,NOP,3,1,1,(none),00,00,00
16,0000,NOP,4,0,0,(none),00,00,00
17,0000,NOP,4,0,1,(none),00,00,00
18,0000,NOP,4,1,0,(none),00,00,00
19,0000,NOP,4,1,1,(none),00,00,00
20,0000,NOP,5,0,0,(none),00,00,00
21,0000,NOP,5,0,1,(none),00,00,00
22,0000,NOP,5,1,0,(none),00,00,00
23,0000,NOP,5,1,1,(none),00,00,00
24,0000,NOP,6,0,0,(none),00,00,00
25,0000,NOP,6,0,1,(none),00,00,00
26,0000,NOP,6,1,0,(none),00,00,00
27,0000,NOP,6,1,1,(none),00,00,00
28,0000,NOP,7,0,0,(none),00,00,00
29,0000,NOP,7,0,1,(none),00,00,00
30,0000,NOP,7,1,0,(none),00,00,00
31,0000,NOP,7,1,1,(none),00,00,00
32,0001,LOAD,0,0,0,IROM_OUT+IR_IN+PC_INC,49,00,00
33,0001,LOAD,0,0,1,IROM_OUT+IR_IN+PC_INC,49,00,00
34,0001,LOAD,0,1,0,IROM_OUT+IR_IN+PC_INC,49,00,00
35,0001,LOAD,0,1,1,IROM_OUT+IR_IN+PC_INC,49,00,00
36,0001,LOAD,1,0,0,IROM_OUT+MAR_LOW_IN+PC_INC,51,00,00
37,0001,LOAD,1,0,1,IROM_OUT+MAR_LOW_IN+PC_INC,51,00,00
38,0001,LOAD,1,1,0,IROM_OUT+MAR_LOW_IN+PC_INC,51,00,00
39,0001,LOAD,1,1,1,IROM_OUT+MAR_LOW_IN+PC_INC,51,00,00
40,0001,LOAD,2,0,0,IROM_OUT+MAR_HIGH_IN+PC_INC,61,00,00
41,0001,LOAD,2,0,1,IROM_OUT+MAR_HIGH_IN+PC_INC,61,00,00
